Stock Name,Ticker,Market Cap,Exchange,Country,Sector,Industry
Centrais El¿tricas Brasileiras SA,EBR,"$15,165",NYSE,Brazil,Utilities,Utility - Electric Power Distribution
Hyatt Hotels,H,"$15,151",NYSE,United States,Consumer Discretionary,Hotels & Motels
Avantor,AVTR,"$15,039",NYSE,United States,Medical,Medical Services
Okta,OKTA,"$15,021",NASDAQ,United States,Computer and Technology,Internet Software & Services
TPG,TPG,"$14,988",NASDAQ,United States,Finance,Finance - Investment Management
Bunge Global SA,BG,"$14,926",NYSE,United States,Basic Materials,Agricultural Products
Bentley Systems,BSY,"$14,821",NASDAQ,United States,Computer and Technology,Internet Software
Burlington Stores,BURL,"$14,768",NYSE,United States,Retail/Wholesale,Retail - Discount & Variety
RB Global,RBA,"$14,763",NYSE,Canada,Business Services,Financial Transaction Services
TransUnion,TRU,"$14,707",NYSE,United States,Business Services,Business Information Services
"Western Midstream Partners, LP",WES,"$14,618",NYSE,United States,Oils/Energy,Oil Refining & Marketing MLP
Jabil,JBL,"$14,548",NYSE,United States,Computer and Technology,Electrical Manufacturing Services (EMS)
Fox,FOX,"$14,534",NASDAQ,United States,Consumer Discretionary,Broadcasting - Radio & TV
Amcor,AMCR,"$14,526",NYSE,United Kingdom,Industrial Products,Containers - Paper & Plastic
Sun Communities,SUI,"$14,514",NYSE,United States,Finance,REIT - Residential Equity Trusts
RPM,RPM,"$14,448",NYSE,United States,Construction,Paints & Allied Products
Celsius Holdings,CELH,"$14,379",NASDAQ,United States,Consumer Staples,Food Items - Miscellaneous/Diversified
Grab Holdings,GRAB,"$14,319",NASDAQ,Singapore,Business Services,Technology Services
Manhattan Associates,MANH,"$14,226",NASDAQ,United States,Computer and Technology,Computer Software
Gold Fields,GFI,"$14,177",NYSE,South Africa,Basic Materials,Gold Miners
Snap-On,SNA,"$14,143",NYSE,United States,Consumer Discretionary,Tools - Hand Held
Casey's General Stores,CASY,"$14,108",NASDAQ,United States,Retail/Wholesale,Retail - Convenience Stores
Insulet,PODD,"$14,055",NASDAQ,United States,Medical,Medical Products Manufacturing
Dynatrace,DT,"$13,987",NYSE,United States,Computer and Technology,Information Technology Services
AES,AES,"$13,972",NYSE,United States,Utilities,Utility - Electric Power Distribution
Viking Holdings,VIK,"$13,945",NYSE,,Transportation,Transportation - Shipping
Ryan Specialty Holdings,RYAN,"$13,934",NYSE,United States,Finance,Insurance Brokers
GFL Environmental,GFL,"$13,915",NYSE,Canada,Business Services,Waste Removal Services
Revvity,RVTY,"$13,888",NYSE,United States,Medical,Medical Services
Natera,NTRA,"$13,828",NASDAQ,United States,Medical,Medical Services
James Hardie Industries,JHX,"$13,820",NYSE,Ireland,Construction,Building & Construction Products - Misc.
Tenet Healthcare,THC,"$13,749",NYSE,United States,Medical,Medical - Hospitals
CF Industries Holdings,CF,"$13,743",NYSE,United States,Basic Materials,Fertilizer Manufacturers
Conagra Brands,CAG,"$13,730",NYSE,United States,Consumer Staples,Food Items - Miscellaneous/Diversified
Graco,GGG,"$13,712",NYSE,United States,Industrial Products,General Industrial Machinery
Trimble,TRMB,"$13,698",NASDAQ,United States,Computer and Technology,Electrical Products - Miscellaneous
Telefonica Brasil S.A,VIV,"$13,691",NYSE,Brazil,Utilities,Diversified Communication Services
Healthpeak Properties,DOC,"$13,653",NYSE,United States,Finance,REIT - Other Equity Trusts
Avangrid,AGR,"$13,638",NYSE,United States,Utilities,Utility - Electric Power Distribution
Reinsurance Group Of America,RGA,"$13,585",NYSE,United States,Finance,Life Insurance Providers
ZTO Express (Cayman),ZTO,"$13,555",NYSE,China,Transportation,Transportation - Services
Neurocrine Biosciences,NBIX,"$13,548",NASDAQ,United States,Medical,Medical - Drug Manufacturing
NVent Electric,NVT,"$13,494",NYSE,United Kingdom,Computer and Technology,Miscelleneous Electrical Components
Akamai Technologies,AKAM,"$13,465",NASDAQ,United States,Computer and Technology,Internet Services
Incyte,INCY,"$13,459",NASDAQ,United States,Medical,Medical - Biomedical and Genetics
Fidelity National Financial,FNF,"$13,452",NYSE,United States,Finance,"Property, Casualty and Title Insurance"
Walgreens,WBA,"$13,407",NASDAQ,United States,Retail/Wholesale,Retail - Drug Stores
Stanley Black & Decker,SWK,"$13,384",NYSE,United States,Industrial Products,Machine Tools & Related Products
Equitable Holdings,EQH,"$13,381",NYSE,United States,Finance,Finance - Miscellaneous Services
TopBuild,BLD,"$13,351",NYSE,United States,Construction,Building & Construction Products - Misc.
Nordson,NDSN,"$13,328",NASDAQ,United States,Industrial Products,General Industrial Machinery
Pool,POOL,"$13,290",NASDAQ,United States,Consumer Discretionary,Leisure & Recreation Products
Pentair,PNR,"$13,280",NYSE,United Kingdom,Industrial Products,Thermal Processing Machinery
Yum China,YUMC,"$13,248",NYSE,China,Retail/Wholesale,Retail - Food & Restaurants
Albemarle,ALB,"$13,239",NYSE,United States,Basic Materials,Chemicals - Diversified
Nutanix,NTNX,"$13,218",NASDAQ,United States,Computer and Technology,Information Technology Services
Advanced Drainage Systems,WMS,"$13,174",NYSE,United States,Construction,Building & Construction Products - Misc.
Ares Capital,ARCC,"$13,169",NASDAQ,United States,Finance,Finance - SBIC & Commercial
Brookfield Infrastructure Partners LP,BIP,"$13,100",NYSE,Bermuda,Finance,REIT - Other Equity Trusts
US Foods Holding,USFD,"$13,092",NYSE,United States,Consumer Staples,Food Items - Miscellaneous/Diversified
Floor & Decor Holdings,FND,"$13,045",NYSE,United States,Construction,Building Products - Wood
United Dominion Realty Trust,UDR,"$13,027",NYSE,United States,Finance,REIT - Residential Equity Trusts
New Oriental Education & Technology,EDU,"$12,978",NYSE,China,Consumer Discretionary,Schools
Aspen Technology,AZPN,"$12,954",NASDAQ,United States,Computer and Technology,Internet Software
KeyCorp,KEY,"$12,945",NYSE,United States,Finance,Banks - Major Regional
CNH Industrial,CNH,"$12,927",NYSE,United Kingdom,Industrial Products,Farm Machinery
American Homes 4 Rent,AMH,"$12,924",NYSE,United States,Finance,REIT - Residential Equity Trusts
Host Hotels & Resorts,HST,"$12,923",NASDAQ,United States,Finance,REIT - Other Equity Trusts
Ovintiv,OVV,"$12,914",NYSE,United States,Oils/Energy,Oil & Gas - Canadian Exploration & Production
Credicorp,BAP,"$12,872",NYSE,Peru,Finance,Banks - Foreign
Flex,FLEX,"$12,840",NASDAQ,Singapore,Computer and Technology,Electrical Products - Miscellaneous
Alliant Energy,LNT,"$12,780",NASDAQ,United States,Utilities,Utility - Electric Power Distribution
Campbell Soup,CPB,"$12,775",NYSE,United States,Consumer Staples,Food Items - Miscellaneous/Diversified
U-Haul Holding,UHAL,"$12,704",NYSE,United States,Transportation,Transportation - Services
MGM Resorts,MGM,"$12,695",NYSE,United States,Consumer Discretionary,Gaming
WestRock,WRK,"$12,688",NYSE,United States,Basic Materials,Paper & Paper Products
Sociedad Quimica Y Minera S.A,SQM,"$12,679",NYSE,Chile,Basic Materials,Fertilizer Manufacturers
Viatris,VTRS,"$12,657",NASDAQ,United States,Medical,Medical Services
NiSource,NI,"$12,629",NYSE,United States,Utilities,Utility - Electric Power Distribution
Fresenius Medical Care AG KGaA,FMS,"$12,617",NYSE,Germany,Medical,Medical Instruments Manufacturing
Paramount Global,PARAA,"$12,580",NASDAQ,United States,Consumer Discretionary,Media Conglomerates
Universal Health Services,UHS,"$12,532",NYSE,United States,Medical,Medical - Hospitals
DaVita,DVA,"$12,514",NYSE,United States,Medical,Medical - Outpatient & Home Care
Medpace Holdings,MEDP,"$12,509",NASDAQ,United States,Medical,Medical Services
United Therapeutics,UTHR,"$12,502",NASDAQ,United States,Medical,Medical - Drug Manufacturing
Kimco Realty,KIM,"$12,491",NYSE,United States,Finance,REIT - Retail Equity Trusts
Lamb Weston,LW,"$12,481",NYSE,United States,Consumer Staples,Food Items - Miscellaneous/Diversified
Magna,MGA,"$12,450",NYSE,Canada,Auto/Tires/Trucks,Auto & Truck Original Equipment Manufacturers
Morningstar,MORN,"$12,396",NASDAQ,United States,Business Services,Business Information Services
XPO,XPO,"$12,392",NYSE,United States,Transportation,Transportation - Truck
Toll Brothers,TOL,"$12,325",NYSE,United States,Construction,Building - Residential and Commercial
Sportradar Group AG,SRAD,"$12,321",NASDAQ,Switzerland,Consumer Discretionary,Leisure & Recreation Products
Saia,SAIA,"$12,284",NASDAQ,United States,Transportation,Transportation - Truck
A O Smith,AOS,"$12,260",NYSE,United States,Industrial Products,Electrical Machinery
Eastman Chemical,EMN,"$12,223",NYSE,United States,Basic Materials,Chemicals - Diversified
Evergy,EVRG,"$12,214",NASDAQ,United States,Utilities,Utility - Electric Power Distribution
Bio-Techne Corp,TECH,"$12,205",NASDAQ,United States,Medical,Medical - Biomedical and Genetics
W.P Carey,WPC,"$12,184",NYSE,United States,Finance,REIT - Other Equity Trusts
Ally Financial,ALLY,"$12,141",NYSE,United States,Finance,Finance - Consumer Loands
Suzano S.A,SUZ,"$12,076",NYSE,Brazil,Basic Materials,Paper & Paper Products
Wingstop,WING,"$12,042",NASDAQ,United States,Retail/Wholesale,Retail - Food & Restaurants
Lamar Advertising,LAMR,"$11,998",NASDAQ,United States,Finance,REIT - Other Equity Trusts
Permian Resources,PR,"$11,996",NYSE,United States,Oils/Energy,Oil & Gas - US Exploration and Production
AECOM,ACM,"$11,970",NYSE,United States,Construction,Engineering - Research & Development Services
Dr Reddy's Laboratories,RDY,"$11,964",NYSE,India,Medical,Medical - Generic Drugs
Clean Harbors,CLH,"$11,956",NYSE,United States,Business Services,Waste Removal Services
CNA Financial,CNA,"$11,934",NYSE,United States,Finance,"Property, Casualty and Title Insurance"
TFI,TFII,"$11,903",NYSE,,Transportation,Transportation - Services
Gaming And Leisure Properties,GLPI,"$11,881",NASDAQ,United States,Finance,REIT - Other Equity Trusts
Franklin Resources,BEN,"$11,879",NYSE,United States,Finance,Finance - Investment Management
Rivian Automotive,RIVN,"$11,745",NASDAQ,United States,Auto/Tires/Trucks,Auto Manufacturers - Domestic
Plains All American Pipeline,PAA,"$11,736",NASDAQ,United States,Oils/Energy,Oil & Gas - Production and Pipelines MLP
J M Smucker,SJM,"$11,693",NYSE,United States,Consumer Staples,Food Items - Miscellaneous/Diversified
Jack Henry & Associates,JKHY,"$11,679",NASDAQ,United States,Computer and Technology,Electrical - Misc Services
BJ's Wholesale Club Holdings,BJ,"$11,664",NYSE,United States,Consumer Discretionary,Consumer Products - Miscellaneous Staples
Albertsons,ACI,"$11,664",NYSE,United States,Consumer Staples,Consumer Products - Misc. Discretionary
Ralph Lauren,RL,"$11,645",NYSE,United States,Consumer Discretionary,Textile - Apparel Manufacturing
RenaissanceRe Holdings,RNR,"$11,615",NYSE,Bermuda,Finance,"Property, Casualty and Title Insurance"
TD SYNNEX,SNX,"$11,569",NYSE,United States,Computer and Technology,Electrical Products - Miscellaneous
Elastic,ESTC,"$11,556",NYSE,United States,Business Services,Technology Services
Juniper Networks,JNPR,"$11,550",NYSE,United States,Computer and Technology,Wireless Equipment Manufacturers
Texas Roadhouse,TXRH,"$11,469",NASDAQ,United States,Retail/Wholesale,Retail - Food & Restaurants
Zillow,Z,"$11,457",NASDAQ,United States,Finance,Real Estate Operations
Camden Property Trust,CPT,"$11,442",NYSE,United States,Finance,REIT - Residential Equity Trusts
Equity Lifestyle Properties,ELS,"$11,430",NYSE,United States,Finance,REIT - Residential Equity Trusts
Chesapeake Energy,CHK,"$11,423",NASDAQ,United States,Oils/Energy,Oil & Gas - US Exploration and Production
Interpublic Group Of,IPG,"$11,410",NYSE,United States,Business Services,Advertising and Marketing Services
Tetra Tech,TTEK,"$11,399",NASDAQ,United States,Industrial Products,Pollution Control Equipment & Services
Comfort Systems USA,FIX,"$11,387",NYSE,United States,Construction,Building Products - Air Conditioning & Heating
Skechers U.S.A,SKX,"$11,362",NYSE,United States,Consumer Discretionary,Shoes & Related Apparel
Sarepta Therapeutics,SRPT,"$11,341",NASDAQ,United States,Medical,Medical - Biomedical and Genetics
Smith & Nephew SNATS,SNN,"$11,323",NYSE,United Kingdom,Medical,Medical Products Manufacturing
Parsons,PSN,"$11,291",NYSE,United States,Business Services,Technology Services
Woodward,WWD,"$11,280",NASDAQ,United States,Computer and Technology,Control Instruments Manufacturing
H World Group,HTHT,"$11,262",NASDAQ,China,Consumer Discretionary,Hotels & Motels
Regency Centers,REG,"$11,199",NASDAQ,United States,Finance,REIT - Retail Equity Trusts
Guidewire Software,GWRE,"$11,180",NYSE,United States,Computer and Technology,Business Software Services
Monday,MNDY,"$11,179",NASDAQ,Israel,Computer and Technology,Internet Software
LKQ,LKQ,"$11,125",NASDAQ,United States,Auto/Tires/Trucks,Auto & Truck Replacement Parts
Zillow,ZG,"$11,115",NASDAQ,United States,Computer and Technology,Internet Services
Onto Innovation,ONTO,"$11,075",NYSE,United States,Computer and Technology,Nanotechnology Equipment and Services
Affirm Holdings,AFRM,"$11,051",NASDAQ,United States,Business Services,Business Services
Birkenstock Holding,BIRK,"$11,042",NYSE,United Kingdom,Consumer Discretionary,Shoes & Related Apparel
E.l.f Beauty,ELF,"$11,038",NYSE,United States,Consumer Staples,Cosmetics and Toiletries
CarMax,KMX,"$11,033",NYSE,United States,Retail/Wholesale,Retail & Wholesale Auto Parts
Charles River Laboratories,CRL,"$11,015",NYSE,United States,Medical,Medical Services
Nice,NICE,"$10,951",NASDAQ,Israel,Computer and Technology,Internet Software
APA,APA,"$10,887",NASDAQ,United States,Oils/Energy,Oil & Gas - US Exploration and Production
Antero Resources,AR,"$10,835",NYSE,United States,Oils/Energy,Oil & Gas - US Exploration and Production
SharkNinja,SN,"$10,816",NYSE,United States,Consumer Discretionary,Furniture Manufacturing
Molson Coors Beverage,TAP,"$10,801",NYSE,United States,Consumer Staples,Alcoholic Beverages
Lincoln Electric Holdings,LECO,"$10,789",NASDAQ,United States,Industrial Products,Machine Tools & Related Products
Reddit,RDDT,"$10,780",NYSE,United States,Computer and Technology,Internet Software
TechnipFMC,FTI,"$10,740",NYSE,United Kingdom,Oils/Energy,Oil & Gas - Field Services
Coherent,COHR,"$10,738",NYSE,United States,Business Services,Technology Services
Performance Food Group,PFGC,"$10,737",NYSE,United States,Retail/Wholesale,Food Items - Wholesale
ITT,ITT,"$10,699",NYSE,United States,Multi-Sector Conglomerates,Diversified Operations
CyberArk Software,CYBR,"$10,596",NASDAQ,Israel,Computer and Technology,Information Technology Services
APi Group,APG,"$10,596",NYSE,United States,Business Services,Business Services
WPP,WPP,"$10,546",NYSE,United Kingdom,Business Services,Advertising and Marketing Services
American Financial,AFG,"$10,518",NYSE,United States,Finance,"Property, Casualty and Title Insurance"
DocuSign,DOCU,"$10,506",NASDAQ,United States,Business Services,Technology Services
Service,SCI,"$10,499",NYSE,United States,Consumer Staples,Funeral Services
Allegion,ALLE,"$10,492",NYSE,Ireland,Industrial Products,Protection - Safety Equipment & Services
EPAM Systems,EPAM,"$10,438",NYSE,United States,Computer and Technology,Information Technology Services
CAVA,CAVA,"$10,436",NYSE,United States,Retail/Wholesale,Retail - Food & Restaurants
Qorvo,QRVO,"$10,397",NASDAQ,United States,Computer and Technology,Semiconductors - Radio Frequency
Curtiss-Wright,CW,"$10,379",NYSE,United States,Aerospace,Aerospace and Defense Equipment
Toast,TOST,"$10,238",NYSE,United States,Computer and Technology,Internet Software
Core & Main,CNM,"$10,193",NYSE,United States,Business Services,Waste Removal Services
Wynn Resorts,WYNN,"$10,179",NASDAQ,United States,Consumer Discretionary,Gaming
Churchill Downs,CHDN,"$10,161",NASDAQ,United States,Consumer Discretionary,Gaming
Sirius XM Holdings,SIRI,"$10,136",NASDAQ,United States,Consumer Discretionary,Broadcasting - Radio & TV
Catalent,CTLT,"$10,126",NYSE,United States,Medical,Medical - Drug Manufacturing
Essential Utilities,WTRG,"$10,109",NYSE,United States,Utilities,Utility - Water Supply
QIAGEN,QGEN,"$10,093",NYSE,Netherlands,Medical,Medical - Biomedical and Genetics
Astera Labs,ALAB,"$10,054",NASDAQ,United States,Computer and Technology,Semiconductors
HF Sinclair,DINO,"$10,004",NYSE,United States,Oils/Energy,Other Alternate Energy
East West Bancorp,EWBC,"$9,979",NASDAQ,United States,Finance,Banks - West
Penske Automotive,PAG,"$9,957",NYSE,United States,Retail/Wholesale,Retail and Wholesale Auto & Truck
Annaly Capital Management Inc,NLY,"$9,949",NYSE,United States,Finance,REIT - Mortgage Trusts
Teleflex,TFX,"$9,943",NYSE,United States,Medical,Medical Instruments Manufacturing
C.H Robinson Worldwide,CHRW,"$9,928",NASDAQ,United States,Transportation,Transportation - Services
Gap,GPS,"$9,921",NYSE,United States,Retail/Wholesale,Retail - Apparel & Shoes
XP,XP,"$9,902",NASDAQ,Brazil,Finance,Finance - Miscellaneous Services
Procore Technologies,PCOR,"$9,899",NYSE,United States,Business Services,Technology Services
Toro,TTC,"$9,850",NYSE,United States,Consumer Discretionary,Tools - Hand Held
F5,FFIV,"$9,850",NASDAQ,United States,Computer and Technology,Internet Software
Tapestry,TPR,"$9,841",NYSE,United States,Retail/Wholesale,Retail - Apparel & Shoes
Abercrombie & Fitch,ANF,"$9,830",NYSE,United States,Retail/Wholesale,Retail - Apparel & Shoes
Murphy USA,MUSA,"$9,820",NYSE,United States,Oils/Energy,Oil Refining & Marketing
Rexford Industrial Realty,REXR,"$9,815",NYSE,United States,Finance,REIT - Other Equity Trusts
CubeSmart,CUBE,"$9,809",NYSE,United States,Finance,REIT - Other Equity Trusts
Bath & Body Works,BBWI,"$9,755",NYSE,United States,Retail/Wholesale,Retail - Miscellaneous & Diversified
AngloGold Ashanti,AU,"$9,753",NYSE,South Africa,Basic Materials,Gold Miners
Chewy,CHWY,"$9,751",NYSE,United States,Consumer Staples,Consumer Products - Misc. Discretionary
Twilio,TWLO,"$9,726",NYSE,United States,Computer and Technology,Internet Software
Jones Lang LaSalle,JLL,"$9,714",NYSE,United States,Finance,Real Estate Operations
Solventum,SOLV,"$9,699",NYSE,United States,Medical,Medical Services
Regal Rexnord,RRX,"$9,679",NYSE,United States,Industrial Products,General Industrial Machinery
AptarGroup,ATR,"$9,663",NYSE,United States,Industrial Products,Containers - Paper & Plastic
Crown Holdings,CCK,"$9,659",NYSE,United States,Industrial Products,Containers - Metal & Glass
Wix,WIX,"$9,647",NASDAQ,Israel,Computer and Technology,Information Technology Services
Bruker,BRKR,"$9,623",NASDAQ,United States,Computer and Technology,Scientific Instruments Manufacturing
Universal Display,OLED,"$9,615",NASDAQ,United States,Computer and Technology,Miscelleneous Electrical Components
Coca-Cola Consolidated,COKE,"$9,600",NASDAQ,United States,Consumer Staples,Beverages - Soft Drinks
Huntington Ingalls Industries,HII,"$9,594",NYSE,United States,Aerospace,Aerospace and Defense General
Cemex S.A.B De C.V,CX,"$9,591",NYSE,Mexico,Construction,"Building - Cement, Concrete and Aggregates"
Crocs,CROX,"$9,558",NASDAQ,United States,Consumer Discretionary,Textile - Apparel Manufacturing
CACI,CACI,"$9,528",NYSE,United States,Computer and Technology,Computer - Services
Unum Group,UNM,"$9,452",NYSE,United States,Finance,Insurance - Accident & Health
Levi Strauss,LEVI,"$9,437",NYSE,United States,Retail/Wholesale,Retail - Apparel & Shoes
Boston Properties,BXP,"$9,417",NYSE,United States,Finance,REIT - Other Equity Trusts
Stantec,STN,"$9,371",NYSE,Canada,Business Services,Consulting Services
Trex,TREX,"$9,325",NYSE,United States,Construction,Building Products - Wood
Jefferies Financial Group,JEF,"$9,273",NYSE,United States,Finance,Finance - Miscellaneous Services
Companhia De Saneamento Basico Do Estado De Sao Paulo - Sabesp,SBS,"$9,268",NYSE,Brazil,Utilities,Utility - Water Supply
Autoliv,ALV,"$9,268",NYSE,Sweden,Auto/Tires/Trucks,Auto & Truck Original Equipment Manufacturers
Kinross Gold,KGC,"$9,193",NYSE,Canada,Basic Materials,Gold Miners
Insmed,INSM,"$9,161",NASDAQ,United States,Medical,Medical - Biomedical and Genetics
MKS Instruments,MKSI,"$9,128",NASDAQ,United States,Computer and Technology,Electronics - Manufacturing Machinery
"Grupo Aeroportuario Del Sureste, S.A De C.V",ASR,"$9,075",NYSE,Mexico,Transportation,Transportation - Services
WESCO,WCC,"$9,049",NYSE,United States,Computer and Technology,Electronics Parts Distribution
Mosaic,MOS,"$9,033",NYSE,United States,Basic Materials,Fertilizer Manufacturers
Kinsale Capital,KNSL,"$8,999",NYSE,United States,Finance,"Property, Casualty and Title Insurance"
Range Resources,RRC,"$8,987",NYSE,United States,Oils/Energy,Oil & Gas - US Exploration and Production
Amdocs,DOX,"$8,980",NASDAQ,United States,Computer and Technology,Information Technology Services
Globus Medical,GMED,"$8,962",NYSE,United States,Medical,Medical Instruments Manufacturing
Donaldson,DCI,"$8,945",NYSE,United States,Industrial Products,Pollution Control Equipment & Services
GameStop,GME,"$8,942",NYSE,United States,Retail/Wholesale,Retail - Consumer Electronics
Maplebear,CART,"$8,939",NASDAQ,United States,Business Services,Technology Services
Aramark,ARMK,"$8,905",NYSE,United States,Consumer Staples,Food Items - Miscellaneous/Diversified
Banco Santander Chile,BSAC,"$8,895",NYSE,Chile,Finance,Banks - Foreign
Houlihan Lokey,HLI,"$8,877",NYSE,United States,Finance,Finance - Miscellaneous Services
Confluent,CFLT,"$8,877",NASDAQ,United States,Business Services,Technology Services
Ubiquiti,UI,"$8,862",NYSE,United States,Computer and Technology,Wireless Equipment Manufacturers
Elanco Animal Health,ELAN,"$8,836",NYSE,United States,Medical,Medical - Outpatient & Home Care
Informatica,INFA,"$8,811",NYSE,United States,Computer and Technology,Internet Software
Assurant,AIZ,"$8,784",NYSE,United States,Finance,Multi-Line Insurance Providers
Vipshop Holdings,VIPS,"$8,764",NYSE,China,Computer and Technology,Internet Services - Delivery
Amkor Technology,AMKR,"$8,755",NASDAQ,United States,Computer and Technology,Semiconductors
FTAI Aviation,FTAI,"$8,754",NASDAQ,United States,Aerospace,Aerospace and Defense Equipment
Nextracker,NXT,"$8,749",NASDAQ,United States,Oils/Energy,Solar Equipment and Services
MasTec,MTZ,"$8,740",NYSE,United States,Construction,Building - Heavy Construction
Pinnacle West Capital,PNW,"$8,705",NYSE,United States,Utilities,Utility - Electric Power Distribution
Coty,COTY,"$8,696",NYSE,United States,Consumer Staples,Cosmetics and Toiletries
AppFolio,APPF,"$8,694",NASDAQ,United States,Computer and Technology,Internet Software
Tempur Sealy,TPX,"$8,693",NYSE,United States,Retail/Wholesale,Retail - Home Furnishings
Lattice Semiconductor,LSCC,"$8,674",NASDAQ,United States,Computer and Technology,Semiconductors
Duolingo,DUOL,"$8,669",NASDAQ,United States,Business Services,Technology Services
Generac Holdings,GNRC,"$8,650",NYSE,United States,Computer and Technology,Electrical Power
KBR,KBR,"$8,646",NYSE,United States,Construction,Engineering - Research & Development Services
Graphic Packaging Holding,GPK,"$8,635",NYSE,United States,Industrial Products,Containers - Paper & Plastic
Encompass Health,EHC,"$8,597",NYSE,United States,Medical,Medical - Outpatient & Home Care
SEI Investments,SEIC,"$8,595",NASDAQ,United States,Finance,Finance - Investment Management
Fabrinet,FN,"$8,591",NYSE,Cayman Islands,Computer and Technology,Miscelleneous Electrical Components
Henry Schein,HSIC,"$8,504",NASDAQ,United States,Medical,Medical & Dental Supplies
Fortune Brands Innovations,FBIN,"$8,489",NYSE,United States,Retail/Wholesale,Retail - Home Furnishings
Light & Wonder,LNW,"$8,456",NASDAQ,United States,Consumer Discretionary,Gaming
Weatherford,WFRD,"$8,443",NASDAQ,United States,Oils/Energy,Oil & Gas - Field Services
Paycom Software,PAYC,"$8,377",NYSE,United States,Computer and Technology,Internet Software
United States Steel,X,"$8,373",NYSE,United States,Basic Materials,Steel Producers
Federal Realty Investment Trust,FRT,"$8,366",NYSE,United States,Finance,REIT - Retail Equity Trusts
MakeMyTrip,MMYT,"$8,354",NASDAQ,India,Computer and Technology,Internet Services - Delivery
Legend Biotech,LEGN,"$8,339",NASDAQ,United States,Medical,Medical - Biomedical and Genetics
Pilgrim's Pride,PPC,"$8,295",NASDAQ,United States,Consumer Staples,Food Items - Meat Products
New York Times,NYT,"$8,286",NYSE,United States,Consumer Staples,Newspaper Publishing
Elbit Systems,ESLT,"$8,271",NASDAQ,Israel,Aerospace,Aerospace and Defense Equipment
Dayforce,DAY,"$8,264",NYSE,United States,Computer and Technology,Internet Software
Caesars Entertainment,CZR,"$8,263",NASDAQ,United States,Consumer Discretionary,Leisure & Recreation Services
Match Group,MTCH,"$8,249",NASDAQ,United States,Retail/Wholesale,Internet Commerce
Stifel Financial,SF,"$8,240",NYSE,United States,Finance,Finance - Investment Banks
Bio-Rad Laboratories,BIO.B,"$8,227",NYSE,United States,Medical,Medical - Biomedical and Genetics
UL Solutions,ULS,"$8,204",NYSE,United States,Business Services,Business Services
First Horizon,FHN,"$8,203",NYSE,United States,Finance,Banks - Southwest
Chemed,CHE,"$8,194",NYSE,United States,Medical,Medical - Outpatient & Home Care
Pearson,PSO,"$8,190",NYSE,United Kingdom,Consumer Discretionary,Media Conglomerates
BWX Technologies,BWXT,"$8,182",NYSE,United States,Computer and Technology,Miscelleneous Electrical Components
Old Republic,ORI,"$8,163",NYSE,United States,Finance,Multi-Line Insurance Providers
YPF Sociedad Anonima,YPF,"$8,130",NYSE,Argentina,Oils/Energy,Oil & Gas - International Integrated
Roku,ROKU,"$8,125",NASDAQ,United States,Consumer Discretionary,Broadcasting - Radio & TV
"Grupo Aeroportuario Del Pacifico, S.A De C.V",PAC,"$8,118",NYSE,Mexico,Transportation,Transportation - Services
Hasbro,HAS,"$8,118",NASDAQ,United States,Consumer Discretionary,"Toys, Games and Hobby Products"
Bio-Rad Laboratories,BIO,"$8,081",NYSE,United States,Medical,Medical Products Manufacturing
Altair Engineering,ALTR,"$8,068",NASDAQ,United States,Construction,Engineering - Research & Development Services
EastGroup Properties,EGP,"$8,058",NYSE,United States,Finance,REIT - Other Equity Trusts
Vaxcyte,PCVX,"$8,043",NASDAQ,United States,Medical,Medical - Biomedical and Genetics
RBC Bearings,RBC,"$8,037",NYSE,United States,Industrial Products,General Industrial Machinery
Royal Gold,RGLD,"$8,035",NASDAQ,United States,Basic Materials,Gold Miners
Descartes Systems Group,DSGX,"$8,025",NASDAQ,Canada,Computer and Technology,Computer Software
Roivant Sciences,ROIV,"$8,000",NASDAQ,United Kingdom,Medical,Medical - Biomedical and Genetics
Repligen,RGEN,"$7,983",NASDAQ,United States,Medical,Medical - Biomedical and Genetics
Gentex,GNTX,"$7,976",NASDAQ,United States,Auto/Tires/Trucks,Auto & Truck Original Equipment Manufacturers
Axalta Coating Systems,AXTA,"$7,970",NYSE,United States,Basic Materials,Chemicals - Specialty
Acuity Brands Inc,AYI,"$7,914",NYSE,United States,Construction,Building Products - Lighting Fixtures
Paylocity Holding,PCTY,"$7,895",NASDAQ,United States,Computer and Technology,Internet Software
Knight-Swift Transportation Holdings,KNX,"$7,888",NYSE,United States,Transportation,Transportation - Truck
Open Text,OTEX,"$7,864",NASDAQ,Canada,Computer and Technology,Computer Software
Southwestern Energy,SWN,"$7,863",NYSE,United States,Oils/Energy,Oil & Gas - US Exploration and Production
Omega Healthcare Investors,OHI,"$7,855",NYSE,United States,Finance,REIT - Other Equity Trusts
Hess Midstream Partners LP,HESM,"$7,833",NYSE,United States,Oils/Energy,E&P MLP
BorgWarner,BWA,"$7,801",NYSE,United States,Auto/Tires/Trucks,Auto & Truck Original Equipment Manufacturers
Woori Bank,WF,"$7,787",NYSE,South Korea,Finance,Banks - Foreign
Exact Sciences,EXAS,"$7,776",NASDAQ,United States,Medical,Medical - Biomedical and Genetics
Eagle Materials Inc,EXP,"$7,761",NYSE,United States,Construction,"Building - Cement, Concrete and Aggregates"
AGCO,AGCO,"$7,743",NYSE,United States,Industrial Products,Farm Machinery
