Stock Name,Ticker,Cash On Hand,Receivables,Inventory,Pre-Paid Expenses,Other Current Assets,Total Current Assets,"Property, Plant, And Equipment",Long-Term Investments,Goodwill And Intangible Assets,Other Long-Term Assets,Total Long-Term Assets,Total Assets,Total Current Liabilities,Long Term Debt,Other Non-Current Liabilities,Total Long Term Liabilities,Total Liabilities,Common Stock Net,Retained Earnings (Accumulated Deficit),Comprehensive Income,Other Share Holders Equity,Share Holder Equity,Total Liabilities And Share Holders Equity,Year
Target,TGT,"$8,511",-,"$10,653",-,"$1,592","$20,756","$26,879",-,-,"$1,386","$30,492","$51,248","$20,125","$11,536","$1,939","$16,683","$36,808",$42,"$8,825",$-756,-,"$14,440","$51,248",2020
Target,TGT,"$2,577",-,"$8,992",-,"$1,333","$12,902","$26,283",-,-,"$1,358","$29,877","$42,779","$14,487","$11,338","$1,724","$16,459","$30,946",$42,"$6,433",$-868,-,"$11,833","$42,779",2019
Target,TGT,"$1,556",-,"$9,497",-,"$1,466","$12,519","$25,533",-,-,"$1,273","$28,771","$41,290","$15,014","$10,223","$1,780","$14,979","$29,993",$43,"$6,017",$-805,-,"$11,297","$41,290",2018
Target,TGT,"$2,643",-,"$8,597",-,"$1,300","$12,540","$24,536",-,-,"$1,343","$27,763","$40,303","$13,052","$11,117","$1,866","$15,600","$28,652",$45,"$6,495",$-747,-,"$11,651","$40,303",2017
Target,TGT,"$2,512",-,"$8,309",-,"$1,169","$11,990","$24,658",-,-,$783,"$25,441","$37,431","$12,707","$11,031","$1,879","$13,771","$26,478",$46,"$5,884",$-638,-,"$10,953","$37,431",2016
Target,TGT,"$4,046",-,"$8,601",-,"$1,161","$14,130","$25,217",-,-,$840,"$26,132","$40,262","$12,622","$11,945","$1,897","$14,683","$27,305",$50,"$8,188",$-629,-,"$12,957","$40,262",2015
Target,TGT,"$2,210",-,"$8,282",-,"$2,074","$13,624","$25,952",-,-,$879,"$27,548","$41,172","$11,736","$12,634","$1,452","$15,439","$27,175",$53,"$9,644",$-599,-,"$13,997","$41,172",2014
Becton Dickinson,BDX,"$1,489","$2,534","$3,273","$1,380",-,"$8,676","$6,557",-,"$35,470","$2,078","$44,105","$52,780","$6,641","$14,738",-,"$20,343","$26,984",$371,"$15,535","$-1,548",-,"$25,796","$52,780",2023
Becton Dickinson,BDX,"$1,167","$2,191","$3,224","$1,559",-,"$8,141","$6,012",-,"$36,931","$1,848","$44,791","$52,934","$7,811","$13,886",-,"$19,840","$27,652",$365,"$15,157","$-1,488",-,"$25,282","$52,934",2022
Becton Dickinson,BDX,"$2,404","$2,350","$2,743","$1,048",-,"$8,838","$6,003",-,"$36,659","$1,945","$45,030","$53,866","$6,626","$17,110",-,"$23,564","$30,189",$365,"$13,826","$-2,088",-,"$23,677","$53,866",2021
