Stock Name,Ticker,Current Ratio,Long-term Debt / Capital,Debt/Equity Ratio,Gross Margin,Operating Margin,EBIT Margin,EBITDA Margin,Pre-Tax Profit Margin,Net Profit Margin,Asset Turnover,Inventory Turnover Ratio,Receiveable Turnover,Days Sales In Receivables,ROE - Return On Equity,Return On Tangible Equity,ROA - Return On Assets,ROI - Return On Investment,Book Value Per Share,Operating Cash Flow Per Share,Free Cash Flow Per Share,Year
PepsiCo,PEP,0.8516,0.6686,2.3665,54.2139,13.1036,13.1036,16.9496,12.4816,9.9201,0.9102,7.8517,8.4578,43.1555,49.1227,-65.2996,9.1099,16.2808,13.5641,1.925,1.6514,2023
PepsiCo,PEP,0.8041,0.6737,2.262,53.0327,13.3253,13.3253,17.122,12.3912,10.3135,0.9371,7.7702,8.5006,42.9379,51.9771,-54.3627,9.7389,16.962,12.5439,-0.5684,-0.9313,2022
PepsiCo,PEP,0.8308,0.6905,2.4973,53.3495,14.0449,14.0449,18.0902,12.3575,9.5855,0.8603,8.5289,9.156,39.8646,47.545,-36.7504,8.3127,14.7172,11.6782,0.7386,0.5348,2021
PepsiCo,PEP,0.9841,0.7487,3.2578,54.8158,14.3239,14.3239,18.6239,12.8872,10.1177,0.7574,7.6215,8.3736,43.5892,52.9442,-29.2618,7.7219,13.3063,9.8203,0.7664,0.6469,2020
PepsiCo,PEP,0.8624,0.6622,2.1568,55.1347,15.3229,15.3229,19.5575,13.8652,10.8903,0.855,9.027,8.5862,42.5102,49.4552,-44.0933,9.3613,16.7053,10.6887,0.2509,-0.427,2019
PepsiCo,PEP,0.9889,0.6596,2.2135,54.5615,15.6354,15.6354,19.3455,14.211,19.3517,0.8327,9.3929,9.0536,40.3153,86.0088,-78.342,16.1743,29.2771,10.3634,-0.368,-0.6376,2018
PepsiCo,PEP,1.5134,0.7548,3.5772,54.6698,16.1763,16.1763,19.9056,15.1153,7.6458,0.796,9.7713,9.044,40.3583,44.0693,-27.8848,6.1501,10.961,7.7331,-0.3687,-0.2827,2017
PepsiCo,PEP,1.2515,0.7285,3.299,55.0598,15.6117,15.6117,19.3825,13.6196,10.0782,0.8545,10.3643,9.3814,38.9068,56.2026,-38.2801,8.6801,15.4635,7.8424,0.0279,-0.1983,2016
PepsiCo,PEP,1.3102,0.7083,2.7668,54.4357,13.247,13.247,17.0785,11.8022,8.6463,0.9051,10.5629,9.7959,37.2606,45.1828,-36.1242,7.8961,13.338,8.308,0.4356,0.4333,2015
PepsiCo,PEP,1.1421,0.5758,1.6467,53.1545,14.368,14.368,18.3045,13.1323,9.7521,0.9457,9.9389,-,-,37.076,-57.0013,9.3009,15.8525,11.793,0.6699,0.5947,2014
